Var,0049,0182,0030,0075,0081,0128,0065,0072,0093,0224,0038,0019,0042,0061,0036,0129,0073,0231,0086,0046,0223,0198,0130,0094,0185,0122,0233,0099,0227,0216,0138,0234,0057,0232,0078,0009,0059,0229,0211,0226,0142,0125,0031,0186,0063,0003,0217,0058,0220,0136,0225,0113,0188,0184,0011,0133,0200,0219,0132,0205,0115,0121,0091,0083,1490,,
14. 1. Fondo de comercio ,0,0,0,0,"4,13,525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,359",0,0,0,0,"60,384",0,0,0,0,0,0,0,0,"44,244",0,0,0,0,0,0,0,0,0,0,0,0,0,"10,017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,925","5,63,454",
14. 2. Otro activo intangible ,350,"2,20,866","57,146","41,181","52,543","9,673","21,256","17,184","1,008","10,335",0,0,0,"2,779",0,0,0,163,"4,867","12,238",273,"2,043","15,552",784,"32,406","16,595",0,"2,695",681,0,141,0,"1,737","9,326",0,"2,991","5,377",1,0,414,"1,333",401,0,493,113,3,660,"1,217",99,0,313,0,0,879,"3,192",1,584,0,0,0,0,0,0,0,"2,596","5,54,489",
15. ACTIVOS FISCALES ,"37,13,441","33,08,839","7,96,255","4,55,941","8,48,020","1,89,229","2,49,087","2,06,450","1,20,899","1,66,879",0,"98,633","39,790","60,017","9,209",29,212,"20,582","4,476","38,797","10,521","2,278","50,035","2,520","8,516","52,145","3,230",352,"13,786","44,182","1,676","2,790","3,111","1,802","4,031","14,009","1,535","2,678","10,178",434,657,"6,871","1,911","8,523","34,183",578,"11,926","1,109","4,881",895,"32,910","2,628","1,165",87,"2,333","2,003",671,270,62,"13,500",0,93,61,0,"2,278","1,06,86,189",
15. 1. Corrientes ,"2,15,496","5,87,703","9,847","68,393","1,36,139","17,553",506,"81,759","27,965","2,526",0,"6,241","15,368",430,"8,564",9,212,"9,438",37,"9,875",334,"1,383",426,"2,272",962,"2,246","1,691",70,0,"32,783",119,772,"2,648",225,979,8,119,"2,157","2,005",434,293,"1,425",231,"3,048","5,185",379,"6,156",117,87,721,"1,893","2,614","1,165",0,"2,333",4,198,270,47,"6,681",0,23,0,0,53,"12,82,617",
15. 2.  Diferidos ,"34,97,945","27,21,136","7,86,408","3,87,548","7,11,881","1,71,676","2,48,581","1,24,691","92,934","1,64,353",0,"92,392","24,422","59,587",645,20,0,"11,144","4,439","28,922","10,187",895,"49,609",248,"7,554","49,899","1,539",282,"13,786","11,399","1,557","2,018",463,"1,577","3,052","14,001","1,416",521,"8,173",0,364,"5,446","1,680","5,475","28,998",199,"5,770",992,"4,794",174,"31,017",14,0,87,0,"1,999",473,0,15,"6,819",0,70,61,0,"2,225","94,03,572",
16. RESTO DE ACTIVOS ,"15,82,769","6,68,930","1,68,069","1,60,452","1,06,736","26,534","15,861","1,35,775","26,967","2,754",113,"38,078","40,500","18,914","29,907",0,"5,248",519,"82,687","19,802","52,290","42,970","12,776","1,469","8,771","22,234","6,087","3,037","2,023","1,714","2,512",295,17,"13,725","2,924","11,649","2,601","12,536",200,"9,237","1,721",547,455,160,5,44,"4,231","3,415",214,541,"12,755",0,17,183,"21,089","4,462","2,512",460,0,57,0,0,0,16,419,"33,92,985",
TOTAL ACTIVO ,"42,25,81,408","39,62,85,484","12,08,57,840","12,26,94,129","8,02,38,109","5,54,61,857","3,22,47,192","2,88,15,400","2,25,08,457","2,51,27,194","88,67,690","1,83,50,418","1,03,79,738","91,04,064","85,05,617","36,51,986","40,76,748","1,61,90,075","67,09,305","39,28,975","27,74,741","95,87,214","66,65,515","20,35,948","21,94,142","39,35,891","17,11,270","8,77,596","14,13,207","23,39,431","16,90,956","9,62,032","8,74,178","10,42,475","8,75,153","71,15,072","8,43,017","11,05,403","7,67,883","9,53,731","6,66,964","17,42,054","5,92,161","5,03,946","43,02,768","3,86,513","19,22,034","5,44,025","1,45,174","6,64,935","30,71,368","2,93,128","1,61,691","1,63,545","2,19,576","2,21,810","1,10,649","1,04,777","33,062","10,56,465","20,926","18,123","12,758","9,128","1,38,942","1,46,34,53,063",
PASIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  CARTERA DE NEGOCIACIÓN ,"4,16,77,666","3,55,30,660","53,85,437","19,10,554","12,12,143","24,92,239","49,576","1,00,045","1,12,954","1,21,308","89,559","2,90,414","1,24,580","19,613",5,"4,15,645",0,"92,523","81,390","3,070",0,"2,81,604",0,521,"45,654",35,326,0,7,0,"1,832",0,0,0,302,104,335,15,"22,902",704,582,490,107,"1,098",0,0,0,604,27,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,"9,00,66,690",
1. 1. Depósitos de bancos centrales ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
