Var,0182,0049,0075,0030,0081,0128,0065,0072,0093,0224,0061,0042,0019,0038,0036,0231,0198,0073,0046,0130,0086,0223,0122,0129,0094,0233,0185,0057,0216,0227,0138,0234,0099,0078,0125,0229,0232,0142,0031,0059,0009,0186,0063,0217,0003,0058,0136,0211,0113,0226,0225,0184,0188,1490,0011,0220,0133,0200,0219,0132,0115,0121,0091,0083,0235
Pro-memoria: Adquirido en arrendamiento financiero ,0,"4,63,767",0,"25,355",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14. ACTIVO INTANGIBLE ,"3,52,854","20,526","58,176","80,840","4,61,759",146,"32,668","22,814","2,056","4,910","3,077",0,0,0,0,8,"1,987",0,"14,486","15,198","4,024",86,"13,048",0,973,0,"89,666","1,777",0,"1,485",91,0,"2,228",0,245,6,"55,220","1,664",0,"4,186","2,471",662,98,736,0,"10,891",0,0,0,221,289,"1,113",0,"34,776","3,746",49,0,446,0,0,0,0,0,0,0
14. 1. Fondo de comercio ,0,0,0,0,"4,13,453",0,0,0,0,0,0,0,0,0,0,0,0,0,"2,359",0,0,0,0,0,0,0,"60,384",0,0,0,0,0,0,0,0,0,"44,244",0,0,0,0,0,0,0,0,"10,017",0,0,0,0,0,0,0,"26,864",0,0,0,0,0,0,0,0,0,0,0
14. 2. Otro activo intangible ,"3,52,854","20,526","58,176","80,840","48,306",146,"32,668","22,814","2,056","4,910","3,077",0,0,0,0,8,"1,987",0,"12,127","15,198","4,024",86,"13,048",0,973,0,"29,282","1,777",0,"1,485",91,0,"2,228",0,245,6,"10,976","1,664",0,"4,186","2,471",662,98,736,0,874,0,0,0,221,289,"1,113",0,"7,912","3,746",49,0,446,0,0,0,0,0,0,0
15. ACTIVOS FISCALES ,"34,78,535","23,27,800","6,25,710","8,48,839","9,86,298","2,42,885","2,77,382","2,40,673","1,66,296","1,64,225","56,882","66,173","1,02,110",0,"1,924","22,559","3,065","2,497","41,347","57,059","7,188",425,"70,323",36,641,"2,719","8,518","4,517","23,750","7,923","4,065","4,275",373,"4,005","7,436","1,621","1,677",823,"2,652","1,305","23,506","11,627","80,389","14,367",422,"1,091","2,226","9,961",173,"2,550","55,465",102,"1,145","2,260","1,273","3,666","2,649",640,244,63,0,53,0,0,0
15. 1. Corrientes ,"5,10,524","2,57,311","57,969","12,533","1,71,785","86,562","22,645","56,958","10,148","1,276",217,"32,544","2,759",0,931,"5,864","1,424",350,"3,450",601,734,425,"2,972",19,353,374,767,"4,088","1,687",1,"1,856",280,35,429,"1,189","1,028",100,316,857,89,73,"2,197",0,122,185,99,"2,191","4,572",161,127,"1,850",55,"1,145",35,"1,273",92,9,105,244,48,0,0,0,0,0
15. 2.  Diferidos ,"29,68,011","20,70,489","5,67,741","8,36,306","8,14,513","1,56,323","2,54,737","1,83,715","1,56,148","1,62,949","56,665","33,629","99,351",0,993,"16,695","1,641","2,147","37,897","56,458","6,454",0,"67,351",17,288,"2,345","7,751",429,"22,063","7,922","2,209","3,995",338,"3,576","6,247",593,"1,577",507,"1,795","1,216","23,433","9,430","80,389","14,245",237,992,35,"5,389",12,"2,423","53,615",47,0,"2,225",0,"3,574","2,640",535,0,15,0,53,0,0,0
16. RESTO DE ACTIVOS ,"7,98,709","29,75,065","3,45,262","1,89,318","1,33,655","34,540","22,971","1,57,985","9,818","7,281","23,316","51,252","55,858",32,"4,18,450",138,"63,710","4,150","34,985","29,584","38,551","3,753","24,002",0,"1,380","6,963","8,686","2,254","1,575","2,234","2,516",485,"2,666","2,870",607,565,"19,009","1,911",323,"1,198","14,217",402,33,"1,938",67,"3,963",620,"1,200",0,"8,805","6,702",954,30,624,"14,792",117,"4,131","1,177",964,0,521,0,0,16,10
TOTAL ACTIVO ,"40,16,55,411","43,89,70,538","12,22,21,670","12,21,18,556","8,40,46,817","5,69,63,485","3,49,12,869","3,27,20,616","2,31,66,653","2,84,84,909","91,81,999","99,24,210","1,63,89,164","58,90,307","80,28,594","1,80,56,271","1,15,75,653","45,85,178","45,39,034","65,83,756","71,67,178","20,06,080","37,25,625","7,81,577","19,05,517","16,32,580","17,97,479","14,25,989","22,30,407","13,80,312","17,95,829","9,71,131","6,37,152","9,37,410","19,09,392","9,27,469","9,20,210","6,13,543","6,40,243","7,54,962","66,33,697","5,17,309","42,08,126","18,67,626","3,32,174","6,51,347","3,22,717","7,14,907","2,13,991","8,28,657","29,69,715","1,85,652","1,29,128","1,57,205","2,37,699","1,32,797","2,84,899","1,09,512","1,53,774","32,851","4,12,060","17,972","12,674","9,131","21,358"
PASIVO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.  CARTERA DE NEGOCIACIÓN ,"4,00,02,583","5,62,49,312","13,38,393","55,47,174","11,19,251","18,15,219","31,440","87,957","1,11,157","99,390","28,140","82,087","2,44,262","1,68,027",51,"1,02,900","3,46,119",0,"3,562",0,"31,440",0,115,"2,23,972",758,96,"21,120",0,0,0,"3,194",0,0,99,0,11,0,135,11,518,56,556,0,0,0,"43,066",100,"26,573",0,"3,071",0,0,0,0,90,0,0,0,0,0,0,0,0,0,"1,332"
1. 1. Depósitos de bancos centrales ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 2. Depósitos de entidades de crédito ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30,502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1. 3. Depósitos de la clientela ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,332"
1. 4. Débitos representados por valores negociables ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
